npc_id,npc_name,classification,classification_id,family_id,family_name,zone_id,react
118,Prowler,Normal,0,1,Wolf,12,"[-1,-1]"
299,Young Wolf,Normal,0,1,Wolf,12,"[0,0]"
521,Lupos,Rare,4,1,Wolf,10,"[-1,-1]"
525,Mangy Wolf,Normal,0,1,Wolf,12,"[-1,-1]"
628,Black Ravager,Normal,0,1,Wolf,10,"[-1,-1]"
704,Ragged Timber Wolf,Normal,0,1,Wolf,6176,"[0,null]"
704,Ragged Timber Wolf,Normal,0,1,Wolf,1,"[0,null]"
705,Ragged Young Wolf,Normal,0,1,Wolf,6176,"[0,0]"
705,Ragged Young Wolf,Normal,0,1,Wolf,1,"[0,0]"
833,Coyote Packleader,Normal,0,1,Wolf,40,"[-1,-1]"
834,Coyote,Normal,0,1,Wolf,40,"[-1,-1]"
1132,Timber,Rare,4,1,Wolf,6457,"[-1,-1]"
1508,Young Scavenger,Normal,0,1,Wolf,6454,"[0,0]"
1508,Young Scavenger,Normal,0,1,Wolf,85,"[0,0]"
1509,Ragged Scavenger,Normal,0,1,Wolf,6454,"[0,0]"
1765,Worg,Normal,0,1,Wolf,130,"[-1,-1]"
1766,Rabid Worg,Normal,0,1,Wolf,130,"[-1,-1]"
1817,Diseased Wolf,Normal,0,1,Wolf,28,"[-1,-1]"
1922,Gray Forest Wolf,Normal,0,1,Wolf,12,"[-1,-1]"
2680,Vilebranch Wolf Pup,Normal,0,1,Wolf,47,"[-1,-1]"
2681,Vilebranch Raiding Wolf,Normal,0,1,Wolf,47,"[-1,-1]"
2728,Feral Crag Coyote,Normal,0,1,Wolf,3,"[-1,-1]"
2729,Elder Crag Coyote,Normal,0,1,Wolf,3,"[-1,-1]"
2729,Elder Crag Coyote,Normal,0,1,Wolf,38,"[-1,-1]"
2730,Rabid Crag Coyote,Normal,0,1,Wolf,3,"[-1,-1]"
2753,Barnabus,Rare,4,1,Wolf,3,"[-1,-1]"
2923,Mangy Silvermane,Normal,0,1,Wolf,47,"[-1,-1]"
2924,Silvermane Wolf,Normal,0,1,Wolf,47,"[-1,-1]"
2925,Silvermane Howler,Normal,0,1,Wolf,47,"[-1,-1]"
2926,Silvermane Stalker,Normal,0,1,Wolf,47,"[-1,-1]"
2958,Prairie Wolf,Normal,0,1,Wolf,215,"[-1,-1]"
