npc_id,npc_name,zone,tameable,family,level,wowhead_url,tamingskillname1,tamingskilldesc1,tamingskillname2,tamingskilldesc2,notes,appearance
64717,Dread Kunchong,Dread Wastes,Can be tamed,Aqiri,35 Elite,https://www.wowhead.com/npc=64717,Exotic Family,Can only be used by Beast Mastery hunters that have reached level 10.,,,"Located in Clutches of Shek'zeer, Dread Wastes.",https://www.wow-petopia.com/images/skin_pix/mantidtank_black.jpg; https://www.wow-petopia.com/images/skin_pix/mantidtank_blue.jpg
56703,Ik'thik Colossus,Valley of the Four Winds,Can be tamed,Aqiri,15-35 Elite,https://www.wowhead.com/npc=56703,Exotic Family,Can only be used by Beast Mastery hunters that have reached level 10.,,,"Located in Stoneplow, Valley of the Four Winds. Only present during the Battle of Stoneplow quest chain.",https://www.wow-petopia.com/images/skin_pix/mantidtank_blue.jpg
66783,Akkolon <Spawn of Garalon>,Dread Wastes,Can be tamed,Aqiri,32-37 Elite,https://www.wowhead.com/npc=66783,Exotic Family,Can only be used by Beast Mastery hunters that have reached level 10.,,,"Located in Clutches of Shek'zeer, Dread Wastes. Appears in a quest phase for The Wrath of Shek'zeer. Akkolon can be a difficult tame as the NPCs that accompany can easily take aggro.",https://www.wow-petopia.com/images/skin_pix/mantidtank_blue.jpg
65582,Ik'thik Kunchong,Dread Wastes,Can be tamed,Aqiri,35 Elite,https://www.wowhead.com/npc=65582,Exotic Family,Can only be used by Beast Mastery hunters that have reached level 10.,,,"Located in The Horrid March, Dread Wastes. Found close to the entry into the Valley of the Four Winds.",https://www.wow-petopia.com/images/skin_pix/mantidtank_blue.jpg
67774,Zan'thik Brutalizer,Assault on Zan'vess (Scenario),Can be tamed,Aqiri,35,https://www.wowhead.com/npc=67774,Exotic Family,Can only be used by Beast Mastery hunters that have reached level 10.,,,Located in Assault on Zan'vess (Scenario).,https://www.wow-petopia.com/images/skin_pix/mantidtank_blue.jpg
161672,Kri'vin,Vale of Eternal Blossoms,Can be tamed,Aqiri,50-52 Elite,https://www.wowhead.com/npc=161672,Exotic Family,Can only be used by Beast Mastery hunters that have reached level 10.,,,"Located in Jin Yang Road, Vale of Eternal Blossoms. Appears during Mantid Assaults, in the west of the zone.",https://www.wow-petopia.com/images/skin_pix/mantidtank_blue.jpg
64724,Karanosh <Kunchong Matriarch>,Dread Wastes,Can be tamed,Aqiri,35 Elite,https://www.wowhead.com/npc=64724,Exotic Family,Can only be used by Beast Mastery hunters that have reached level 10.,,,"Located in Clutches of Shek'zeer, Dread Wastes. Only present when the daily quests are located in that part of the zone.",https://www.wow-petopia.com/images/skin_pix/mantidtank_blue-black.jpg
65520,Massive Ik'thik Kunchong,Valley of the Four Winds,Can be tamed,Aqiri,15-35 Elite,https://www.wowhead.com/npc=65520,Exotic Family,Can only be used by Beast Mastery hunters that have reached level 10.,,,"Located in Stoneplow, Valley of the Four Winds. Only present during the Battle of Stoneplow quest chain.",https://www.wow-petopia.com/images/skin_pix/mantidtank_green.jpg
56877,Raigonn,Gate of the Setting Sun (Dungeon),Can be tamed,Aqiri,36 Boss Elite,https://www.wowhead.com/npc=56877,Exotic Family,Can only be used by Beast Mastery hunters that have reached level 10.,,,Located in Gate of the Setting Sun (Dungeon). The fourth and final boss in Gate of the Setting Sun.,https://www.wow-petopia.com/images/skin_pix/mantidtank_green.jpg
63697,Nascent Kunchong,Townlong Steppes,Can be tamed,Aqiri,35,https://www.wowhead.com/npc=63697,Exotic Family,Can only be used by Beast Mastery hunters that have reached level 10.,,,"Located in The Feeding Pits, Townlong Steppes.",https://www.wow-petopia.com/images/skin_pix/mantidtank_red.jpg
