npc_id,npc_name,zone,tameable
64717,Dread Kunchong,"Clutches of Shek'zeer, Dread Wastes",Can Be Tamed
56703,Ik'thik Colossus,"Stoneplow, Valley of the Four Winds",Can Be Tamed
66783,Akkolon,"Clutches of Shek'zeer, Dread Wastes",Can Be Tamed
65582,Ik'thik Kunchong,"The Horrid March, Dread Wastes",Can Be Tamed
67774,Zan'thik Brutalizer,Assault on Zan'vess (Scenario),Can Be Tamed
161672,Kri'vin,"Jin Yang Road, Vale of Eternal Blossoms",Can Be Tamed
64724,Karanosh,"Clutches of Shek'zeer, Dread Wastes",Can Be Tamed
65520,Massive Ik'thik Kunchong,"Stoneplow, Valley of the Four Winds",Can Be Tamed
56877,Raigonn,Gate of the Setting Sun (Dungeon),Can Be Tamed
63697,Nascent Kunchong,"The Feeding Pits, Townlong Steppes",Can Be Tamed
63696,Ravenous Kunchong,"The Feeding Pits, Townlong Steppes",Can Be Tamed
61509,Sra'thik Kunchong,"Niuzao Temple, Townlong Steppes",Can Be Tamed
72927,Kovok,"Chamber of the Paragons, Siege of Orgrimmar (Raid)",Can Be Tamed
153278,Kunchong Destroyer,Vale of Eternal Blossoms,Can Be Tamed
160872,Destroyer Krox'tazar,Vale of Eternal Blossoms,Can Be Tamed
154604,Lord Aj'qirai,"Chamber of the Moon, Uldum",Can Be Tamed
154353,Aqir Goliath,Uldum,Can Be Tamed
163025,Aqir Goliath,"Obelisk of the Moon, Uldum",Can Be Tamed
158530,Aqir Hive Guardian,"Chamber of the Moon, Uldum",Can Be Tamed
163259,Goliath Hatchling,"Ruins of Ammon, Uldum",Can Be Tamed
162173,R'krox the Runt,Uldum,Can Be Tamed
163268,Titanus Young,"Ruins of Ammon, Uldum",Can Be Tamed
154576,Aqir Titanus,Uldum,Can Be Tamed
155703,Anq'uri the Titanic,"Ruins of Ammon, Uldum",Can Be Tamed
160970,Vuk'laz the Earthbreaker,"Sahket Wastes, Uldum",Can Be Tamed
132578,Qroshekx,"Hive'Ashi, Silithus",Can Be Tamed
132584,Xaarshej,"Hive'Zora, Silithus",Can Be Tamed
131892,Silithid Sentinel,Silithus,Can Be Tamed
132580,Ssinkrix,"Hive'Regal, Silithus",Can Be Tamed
8205,Haarka the Ravenous,Tanaris,Can Be Tamed
5454,Hazzali Sandreaver,Tanaris,Can Be Tamed
11723,Hive'Ashi Sandstalker,Silithus,Can Be Tamed
50748,Nyaj,Thousand Needles,Can Be Tamed
48177,Silithid Ravager,Thousand Needles,Can Be Tamed
15622,Vekniss Borer,Temple of Ahn'Qiraj (Raid),Can Be Tamed
15320,Hive'Zara Soldier,Ruins of Ahn'Qiraj (Raid),Can Be Tamed
5460,Centipaar Sandreaver,Tanaris,Can Be Tamed
11730,Hive'Regal Ambusher,Silithus,Can Be Tamed
11734,Hive'Regal Hive Lord,Silithus,Can Be Tamed
47388,Silithid Ravager,Thousand Needles,Can Be Tamed
8204,Soriid the Devourer,Tanaris,Can Be Tamed
14473,Lapress,Silithus,Can Be Tamed
15233,Vekniss Guardian,Temple of Ahn'Qiraj (Raid),Can Be Tamed
4132,Krkk'kx,Thousand Needles,Can Be Tamed
48178,Silithid Ravager,Thousand Needles,Can Be Tamed
50747,Tix,"Ahn'Qiraj: The Fallen Kingdom, Silithus",Can Be Tamed
15230,Vekniss Warrior,Temple of Ahn'Qiraj (Raid),Can Be Tamed
6582,Clutchmother Zavas,Un'Goro Crater,Can Be Tamed
10040,Gorishi Hive Guard,Un'Goro Crater,Can Be Tamed
6553,Gorishi Reaver,Un'Goro Crater,Can Be Tamed
11728,Hive'Zora Reaver,Silithus,Can Be Tamed
50741,Kaxx,Thousand Needles,Can Be Tamed
15323,Hive'Zara Sandstalker,Ruins of Ahn'Qiraj (Raid),Can Be Tamed
47387,Harakiss the Infestor,Tanaris,Can Be Tamed
15543,Princess Yauj,Temple of Ahn'Qiraj (Raid),Can Be Tamed
50746,Bornix the Burrower,"Hive'Regal, Silithus",Can Be Tamed
15511,Lord Kri,Temple of Ahn'Qiraj (Raid),Can Be Tamed
47386,Ainamiss the Hive Queen,Tanaris,Can Be Tamed
50745,Losaj,"Hive'Zora, Silithus",Can Be Tamed
15544,Vem,Temple of Ahn'Qiraj (Raid),Can Be Tamed
38305,Gorishi Fledgling Colossus,Un'Goro Crater,Can Be Tamed
15370,Buru the Gorger,"The Hatchery, Ruins of Ahn'Qiraj (Raid)",Can Be Tamed
50743,Manax,"Hive'Regal, Silithus",Can Be Tamed
50744,Qu'rik,"Hive'Ashi, Silithus",Can Be Tamed
50742,Qem,"Hive'Ashi, Silithus",Can Be Tamed
47389,Hive Controller,Thousand Needles,Can Be Tamed
6552,Gorishi Worker,Un'Goro Crater,Can Be Tamed
11729,Hive'Zora Hive Sister,"Hive'Zora., Silithus",Can Be Tamed
11725,Hive'Zora Waywatcher,"Hive'Zora., Silithus",Can Be Tamed
5452,Hazzali Worker,Tanaris,Can Be Tamed
11722,Hive'Ashi Defender,"Hive'Ashi., Silithus",Can Be Tamed
15318,Hive'Zara Drone,Ruins of Ahn'Qiraj (Raid),Can Be Tamed
15521,Hive'Zara Hatchling,Ruins of Ahn'Qiraj (Raid),Can Be Tamed
15229,Vekniss Soldier,Temple of Ahn'Qiraj (Raid),Can Be Tamed
5458,Centipaar Worker,Tanaris,Can Be Tamed
11733,Hive'Regal Slavemaker,"Hive'Regal., Silithus",Can Be Tamed
5247,Zukk'ash Tunneler,Feralas,Can Be Tamed
15319,Hive'Zara Collector,Ruins of Ahn'Qiraj (Raid),Can Be Tamed
131893,Silithid Drone,Silithus,Can Be Tamed
3252,Silithid Swarmer,Southern Barrens,Can Be Tamed
5246,Zukk'ash Worker,Feralas,Can Be Tamed
15300,Vekniss Drone,Temple of Ahn'Qiraj (Raid),Can Be Tamed
15962,Vekniss Hatchling,Temple of Ahn'Qiraj (Raid),Can Be Tamed
87251,Sandreaver,"The Sunset Shore, Talador",Can Be Tamed
87250,Sandreaver Matriarch,"The Sunset Shore, Talador",Can Be Tamed
88525,Reaver Pit Fodder,"The Ring of Blood, Nagrand - Draenor",Can Be Tamed
15348,Kurinnaxx,Ruins of Ahn'Qiraj (Raid),Can Be Tamed
39149,Sarinexx,"Gadgetzan, Tanaris",Can Be Tamed
83448,Scavenging Crawler,"Ruins of the First Bastion, Gorgrond",Can Be Tamed
87253,Sandreaver Drone,"The Sunset Shore, Talador",Can Be Tamed
15510,Fankriss the Unyielding,Temple of Ahn'Qiraj (Raid),Can Be Tamed
118252,Darkstone Basilisk,"Darkstone Isle, Broken Shore",Can Be Tamed
104895,Felslate Basilisk,The Broken Isles,Can Be Tamed
119139,Stoneblood Basilisk,"Cinder Run, Broken Shore",Can Be Tamed
99598,Axetail Basilisk Matriarch,"Llothien, Azsuna",Can Be Tamed
96878,Catacomb Gazecrawler,"Candle Rock, Highmountain",Can Be Tamed
108185,Coldscale Gazecrawler,"Snowblind Mesa, Highmountain",Can Be Tamed
109867,Fjara Rockjaw,Stormheim,Can Be Tamed
97991,Misthunter Basilisk,"Helmouth Shallows (Survival Artifact Quest Instance), Stormheim",Can Be Tamed
108529,Seascale Basilisk,"Rockaway Coast, Highmountain",Can Be Tamed
101785,Steelgaze Basilisk,"Echoing Halls, Highmountain",Can Be Tamed
99779,Stonespine Gazer,"Ambervale, Suramar",Can Be Tamed
191697,Ancient Basilisk,The Waking Shores,Can Be Tamed
193702,Blistered Basilisk,"Chittering Caverns, Thaldraszus",Can Be Tamed
199194,Cave Basilisk,Thaldraszus,Can Be Tamed
189756,Lazy Basilisk,"Restless Wetlands, The Waking Shores",Can Be Tamed
191696,Mature Basilisk,The Waking Shores,Can Be Tamed
189757,Snoozing Basilisk Bull,"Restless Wetlands, The Waking Shores",Can Be Tamed
191695,Stalking Basilisk,The Waking Shores,Can Be Tamed
188128,Stonejaw Basilisk,Ohn'ahran Plains,Can Be Tamed
192466,Thornsided Basilisk,"Steelcliff Passage, Thaldraszus",Can Be Tamed
195359,Thornsided Basilisk,"Steelcliff Passage, Thaldraszus",Can Be Tamed
191694,Young Basilisk,The Waking Shores,Can Be Tamed
184023,Vicious Basilisk,Uldaman: Legacy of Tyr (Dungeon),Can Be Tamed
221298,Cavern Basilisk,"The Cataract River, The Ringing Deeps",Can Be Tamed
219949,Cavern Basilisk,The Ringing Deeps,Can Be Tamed
226397,Rockslab Basilisk,The Ringing Deeps,Can Be Tamed
222302,Sandscale Riplisk,Isle of Dorn,Can Be Tamed
225026,Sandscale Riplisk,Isle of Dorn,Can Be Tamed
107965,Canyon Rockeater,"Stonescar Gorge, Stormheim",Can Be Tamed
130584,Gorespike,Island Expeditions (Scenario),Can Be Tamed
196176,Mosshide Basilisk,"Veiled Ossuary, Thaldraszus",Can Be Tamed
188039,Muckjaw Basilisk,"Apex Canopy, The Waking Shores",Can Be Tamed
193579,Muckjaw Basilisk,"Genesis Falls, The Waking Shores",Can Be Tamed
226700,Mudstone Basilisk,The Ringing Deeps,Can Be Tamed
217523,Riplisk Hatchling,"Golgrin's Reach, Isle of Dorn",Can Be Tamed
100841,Spinesever,"Rockaway Coast, Highmountain",Can Be Tamed
107914,Stonefang,Stormheim,Can Be Tamed
130229,Glasshide Basilisk,"Tal'farrak, Zuldazar",Can Be Tamed
130338,Dustfang,Island Expeditions (Scenario),Can Be Tamed
100100,Axetail Basilisk,"Azurgale Cove, Suramar",Can Be Tamed
103787,Baconlisk,Suramar,Can Be Tamed
103527,Manascale Basilisk,"Moonwhisper Gulch, Suramar",Can Be Tamed
102106,Starving Basilisk,"Underslog, Highmountain",Can Be Tamed
217524,Armored Riplisk,"Golgrin's Reach, Isle of Dorn",Can Be Tamed
227538,Ironhide Gazer,The Ringing Deeps,Can Be Tamed
226369,Warmslink Gator,"Boulder Springs, Isle of Dorn",Can Be Tamed
220270,Zilthara,The Ringing Deeps,Can Be Tamed
98957,Coldscale Deatheye,"Neltharion's Vault & The Slave Enclave, Highmountain",Can Be Tamed
91128,Lagoon Basilisk,"El'dranil Shallows, Azsuna",Can Be Tamed
97030,Leygazer,"Leygazer's Den, Val'sharah",Can Be Tamed
98653,Manaspine Basilisk,"Bitestone Enclave, Highmountain",Can Be Tamed
130581,Sand-Eye,Island Expeditions (Scenario),Can Be Tamed
99793,Leyscale Manalisk,Suramar,Can Be Tamed
103514,Leystone Basilisk,Stormheim; Suramar,Can Be Tamed
103808,Managazer,"Moonwhisper Gulch, Suramar",Can Be Tamed
199195,Cobalt Basilisk,Thaldraszus,Can Be Tamed
18461,Dampscale Basilisk,Terokkar Forest,Can Be Tamed
18463,Dampscale Devourer,Terokkar Forest,Can Be Tamed
85694,Mire Basilisk,"Mistcreep Mire, Gorgrond",Can Be Tamed
86134,Vicious Cave Basilisk,"Sulfurscale Cave, Gorgrond",Can Be Tamed
20987,Ruuan Weald Basilisk,Blade's Edge Mountains,Can Be Tamed
71721,Canyon Icemother,"Daggermaw Ravine, Frostfire Ridge",Can Be Tamed
70858,Daggermaw Icegazer,"Daggermaw Ravine, Frostfire Ridge",Can Be Tamed
21816,Ironspine Chomper,Terokkar Forest,Can Be Tamed
21854,Ironspine Petrifier,Terokkar Forest,Can Be Tamed
20607,Craghide Basilisk,Netherstorm,Can Be Tamed
18648,Stonegazer,Terokkar Forest,Can Be Tamed
20925,Scalded Basilisk,Blade's Edge Mountains,Can Be Tamed
19730,Ironspine Gazer,Zangarmarsh,Can Be Tamed
19729,Ironspine Threshalisk,Zangarmarsh,Can Be Tamed
20283,Marshrock Stomper,Zangarmarsh,Can Be Tamed
19706,Marshrock Threshalisk,Zangarmarsh,Can Be Tamed
20279,Ragestone Threshalisk,Zangarmarsh,Can Be Tamed
20280,Ragestone Trampler,Zangarmarsh,Can Be Tamed
74962,Stoneshamble Basilisk,"Sulfur Basin, Gorgrond",Can Be Tamed
20924,Grishnath Basilisk,Blade's Edge Mountains,Can Be Tamed
20783,Porfus the Gem Gorger,Netherstorm,Can Be Tamed
5935,Ironeye the Invincible,Thousand Needles,Can Be Tamed
35245,Greystone Basilisk,Azshara,Can Be Tamed
6215,Chomper,Gnomeregan (Dungeon),Can Be Tamed
14227,Hissperak,Desolace,Can Be Tamed
690,Cold Eye Basilisk,The Cape of Stranglethorn,Can Be Tamed
1551,Ironjaw Basilisk,The Cape of Stranglethorn,Can Be Tamed
44113,Ironjaw Behemoth,"Crystalvein Mine, The Cape of Stranglethorn",Can Be Tamed
1552,Scale Belly,"Crystalvein Mine, The Cape of Stranglethorn",Can Be Tamed
8095,Sul'lithuz Sandcrawler,Zul'Farrak (Dungeon),Can Be Tamed
39658,Spinescale Basilisk,Mount Hyjal,Can Be Tamed
48724,Spinescale Basilisk,Mount Hyjal,Can Be Tamed
689,Crystal Spine Basilisk,Northern Stranglethorn,Can Be Tamed
40403,Spinescale Matriarch,Mount Hyjal,Can Be Tamed
72329,Lavalisk,"The Boneslag, Frostfire Ridge",Can Be Tamed
66188,Amberscale Basilisk,Dread Wastes,Can Be Tamed
8302,Deatheye,Blasted Lands,Can Be Tamed
1550,Thrashtail Basilisk,The Cape of Stranglethorn,Can Be Tamed
4863,Jadespine Basilisk,Uldaman (Dungeon),Can Be Tamed
688,Stone Maw Basilisk,Northern Stranglethorn,Can Be Tamed
28203,Gorged Lurking Basilisk,Zul'Drak,Can Be Tamed
28145,Lurking Basilisk,Zul'Drak,Can Be Tamed
5990,Redstone Basilisk,Blasted Lands,Can Be Tamed
11785,Ambereye Basilisk,"Maraudon Entrance, Desolace",Can Be Tamed
8120,Sul'lithuz Abomination,Zul'Farrak (Dungeon),Can Be Tamed
88481,Sandhide Watcher,"Pinchwhistle Point, Spires of Arak",Can Be Tamed
84805,Stonespite,Spires of Arak,Can Be Tamed
8138,Sul'lithuz Broodling,Zul'Farrak (Dungeon),Can Be Tamed
11786,Ambereye Reaver,"Maraudon Entrance, Desolace",Can Be Tamed
66448,Veiled Basilisk,Townlong Steppes,Can Be Tamed
51013,Rockhide the Immovable,Townlong Steppes,Can Be Tamed
130598,Crystal Spine Matriarch,"Yojamba Isle, Northern Stranglethorn",Can Be Tamed
5420,Glasshide Gazer,Tanaris,Can Be Tamed
43181,Shalehide Basilisk,Deepholm,Can Be Tamed
43981,Jadecrest Basilisk,Deepholm,Can Be Tamed
43339,Gorgonite,"Shuddering Spires, Deepholm",Can Be Tamed
42543,Crystal Gorged Basilisk,Deepholm,Can Be Tamed
35750,Snapjaw Basilisk,Desolace,Can Be Tamed
5419,Glasshide Basilisk,Tanaris,Can Be Tamed
