uiMapId,uiMapName,continent_id,continent_name
1,Durotar,12,Kalimdor
7,Mulgore,12,Kalimdor
10,Northern Barrens,12,Kalimdor
11,Wailing Caverns,12,Kalimdor
57,Teldrassil,12,Kalimdor
58,Shadowthread Cave,12,Kalimdor
62,Darkshore,12,Kalimdor
63,Ashenvale,12,Kalimdor
64,Thousand Needles,12,Kalimdor
65,Stonetalon Mountains,12,Kalimdor
66,Desolace,12,Kalimdor
68,Maraudon,12,Kalimdor
69,Feralas,12,Kalimdor
70,Dustwallow Marsh,12,Kalimdor
71,Tanaris,12,Kalimdor
72,The Noxious Lair,12,Kalimdor
73,The Gaping Chasm,12,Kalimdor
76,Azshara,12,Kalimdor
77,Felwood,12,Kalimdor
78,Un'Goro Crater,12,Kalimdor
79,The Slithering Scar,12,Kalimdor
81,Silithus,12,Kalimdor
83,Winterspring,12,Kalimdor
85,Orgrimmar,12,Kalimdor
88,Thunder Bluff,12,Kalimdor
97,Azuremyst Isle,12,Kalimdor
103,The Exodar,12,Kalimdor
106,Bloodmyst Isle,12,Kalimdor
198,Mount Hyjal,12,Kalimdor
199,Southern Barrens,12,Kalimdor
213,Ragefire Chasm,12,Kalimdor
219,Zul'Farrak,12,Kalimdor
221,Blackfathom Deeps,12,Kalimdor
223,Blackfathom Deeps,12,Kalimdor
234,Dire Maul,12,Kalimdor
247,Ruins of Ahn'Qiraj,12,Kalimdor
249,Uldum,12,Kalimdor
273,The Black Morass,12,Kalimdor
274,Old Hillsbrad Foothills,12,Kalimdor
277,Lost City of the Tol'vir,12,Kalimdor
279,Wailing Caverns,12,Kalimdor
281,Maraudon,12,Kalimdor
297,Halls of Origination,12,Kalimdor
298,Halls of Origination,12,Kalimdor
299,Halls of Origination,12,Kalimdor
300,Razorfen Downs,12,Kalimdor
301,Razorfen Kraul,12,Kalimdor
319,Ahn'Qiraj,12,Kalimdor
327,Ahn'Qiraj: The Fallen Kingdom,12,Kalimdor
338,Molten Front,12,Kalimdor
367,Firelands,12,Kalimdor
399,Hour of Twilight,12,Kalimdor
401,End Time,12,Kalimdor
460,Shadowglen,12,Kalimdor
461,Valley of Trials,12,Kalimdor
462,Camp Narache,12,Kalimdor
463,Echo Isles,12,Kalimdor
468,Ammen Vale,12,Kalimdor
503,Brawl'gar Arena,12,Kalimdor
522,The Secrets of Ragefire,12,Kalimdor
1203,Darkshore,12,Kalimdor
1330,Uldum,12,Kalimdor
1332,Darkshore,12,Kalimdor
1333,Darkshore,12,Kalimdor
1338,Darkshore,12,Kalimdor
1527,Uldum,12,Kalimdor
2351,Razorwind Shores,12,Kalimdor
14,Arathi Highlands,13,Eastern Kingdoms
15,Badlands,13,Eastern Kingdoms
17,Blasted Lands,13,Eastern Kingdoms
18,Tirisfal Glades,13,Eastern Kingdoms
19,Scarlet Monastery Entrance,13,Eastern Kingdoms
21,Silverpine Forest,13,Eastern Kingdoms
22,Western Plaguelands,13,Eastern Kingdoms
23,Eastern Plaguelands,13,Eastern Kingdoms
25,Hillsbrad Foothills,13,Eastern Kingdoms
26,The Hinterlands,13,Eastern Kingdoms
27,Dun Morogh,13,Eastern Kingdoms
32,Searing Gorge,13,Eastern Kingdoms
33,Blackrock Mountain,13,Eastern Kingdoms
36,Burning Steppes,13,Eastern Kingdoms
37,Elwynn Forest,13,Eastern Kingdoms
40,The Jasperlode Mine,13,Eastern Kingdoms
42,Deadwind Pass,13,Eastern Kingdoms
47,Duskwood,13,Eastern Kingdoms
48,Loch Modan,13,Eastern Kingdoms
49,Redridge Mountains,13,Eastern Kingdoms
50,Northern Stranglethorn,13,Eastern Kingdoms
51,Swamp of Sorrows,13,Eastern Kingdoms
52,Westfall,13,Eastern Kingdoms
55,The Deadmines,13,Eastern Kingdoms
56,Wetlands,13,Eastern Kingdoms
84,Stormwind City,13,Eastern Kingdoms
91,Alterac Valley,13,Eastern Kingdoms
94,Eversong Woods,13,Eastern Kingdoms
95,Ghostlands,13,Eastern Kingdoms
124,Plaguelands: The Scarlet Enclave,13,Eastern Kingdoms
179,Gilneas,13,Eastern Kingdoms
201,Kelp'thar Forest,13,Eastern Kingdoms
202,Gilneas City,13,Eastern Kingdoms
204,Abyssal Depths,13,Eastern Kingdoms
205,Shimmering Expanse,13,Eastern Kingdoms
210,The Cape of Stranglethorn,13,Eastern Kingdoms
217,Ruins of Gilneas,13,Eastern Kingdoms
218,Ruins of Gilneas City,13,Eastern Kingdoms
220,The Temple of Atal'Hakkar,13,Eastern Kingdoms
226,Gnomeregan,13,Eastern Kingdoms
227,Gnomeregan,13,Eastern Kingdoms
229,Gnomeregan,13,Eastern Kingdoms
230,Uldaman,13,Eastern Kingdoms
232,Molten Core,13,Eastern Kingdoms
233,Zul'Gurub,13,Eastern Kingdoms
241,Twilight Highlands,13,Eastern Kingdoms
242,Blackrock Depths,13,Eastern Kingdoms
243,Blackrock Depths,13,Eastern Kingdoms
244,Tol Barad,13,Eastern Kingdoms
245,Tol Barad Peninsula,13,Eastern Kingdoms
250,Blackrock Spire,13,Eastern Kingdoms
251,Blackrock Spire,13,Eastern Kingdoms
252,Blackrock Spire,13,Eastern Kingdoms
254,Blackrock Spire,13,Eastern Kingdoms
255,Blackrock Spire,13,Eastern Kingdoms
286,Blackwing Descent,13,Eastern Kingdoms
290,Blackwing Lair,13,Eastern Kingdoms
291,The Deadmines,13,Eastern Kingdoms
292,The Deadmines,13,Eastern Kingdoms
294,The Bastion of Twilight,13,Eastern Kingdoms
310,Shadowfang Keep,13,Eastern Kingdoms
318,Stratholme,13,Eastern Kingdoms
333,Zul'Aman,13,Eastern Kingdoms
335,Sunwell Plateau,13,Eastern Kingdoms
337,Zul'Gurub,13,Eastern Kingdoms
348,Magisters' Terrace,13,Eastern Kingdoms
349,Magisters' Terrace,13,Eastern Kingdoms
350,Karazhan,13,Eastern Kingdoms
358,Karazhan,13,Eastern Kingdoms
425,Northshire,13,Eastern Kingdoms
427,Coldridge Valley,13,Eastern Kingdoms
431,Scarlet Halls,13,Eastern Kingdoms
465,Deathknell,13,Eastern Kingdoms
467,Sunstrider Isle,13,Eastern Kingdoms
469,New Tinkertown,13,Eastern Kingdoms
500,Deeprun Tram,13,Eastern Kingdoms
523,Dun Morogh,13,Eastern Kingdoms
616,Upper Blackrock Spire,13,Eastern Kingdoms
618,Upper Blackrock Spire,13,Eastern Kingdoms
623,Hillsbrad Foothills (Southshore vs. Tarren Mill),13,Eastern Kingdoms
810,Karazhan,13,Eastern Kingdoms
943,Arathi Highlands,13,Eastern Kingdoms
973,The Sunwell,13,Eastern Kingdoms
1044,Arathi Highlands,13,Eastern Kingdoms
1470,Vision of Stormwind,13,Eastern Kingdoms
1537,Alterac Valley,13,Eastern Kingdoms
2070,Tirisfal Glades,13,Eastern Kingdoms
2071,Uldaman: Legacy of Tyr,13,Eastern Kingdoms
2352,Founder's Point,13,Eastern Kingdoms
2393,Silvermoon City,13,Eastern Kingdoms
2395,Eversong Woods,13,Eastern Kingdoms
2404,Vision of Stormwind,13,Eastern Kingdoms
2405,Voidstorm,13,Eastern Kingdoms
2413,Harandar,13,Eastern Kingdoms
2424,Isle of Quel'Danas,13,Eastern Kingdoms
2434,Augurs' Terrace,13,Eastern Kingdoms
2437,Zul'Aman,13,Eastern Kingdoms
