npc_id,npc_name,classification,classification_id,family_id,family_name,zone_id,react,action
7268,Sandfury Guardian,Elite,1,35,Serpent,1176,"[-1,-1]",add
9701,Spire Scorpid,Normal,0,20,Scorpid,1583,"[-1,-1]",add
13896,Scalebeard,Rare,4,21,Turtle,16,"[0,0]",add
15932,Gluth,Elite,1,52,Hound,3456,"[-1,-1]",add
16171,Coldmist Widow,Elite,1,3,Spider,3457,"[-1,-1]",add
16174,Greater Shadowbat,Elite,1,24,Bat,3457,"[-1,-1]",add
16179,Hyakiss the Lurker,Rare Elite,2,3,Spider,3457,"[-1,-1]",add
16992,Dreadtusk,Normal,0,5,Boar,3483,[],update
17556,Death Ravager,Normal,0,41,Aqiri,3524,"[-1,-1]",add
17669,Rabid Warhound,Normal,0,52,Hound,3714,"[-1,-1]",add
17732,Lykul Wasp,Elite,1,44,Wasp,3716,"[-1,-1]",add
20039,Phoenix-Hawk,Elite,1,30,Dragonhawk,3845,"[-1,-1]",add
20783,Porfus the Gem Gorger,Normal,0,130,Basilisk,3523,[],update
21246,Serpentshrine Sporebat,Elite,1,33,Sporebat,3607,"[-1,-1]",add
21470,Angered Arakkoa Protector,Normal,0,7,Carrion Bird,3522,"[-1,-1]",add
21724,Hawkbane,Rare,4,2,Cat,3519,"[-1,-1]",add
22181,Aether Ray,Normal,0,34,Ray,3522,"[0,0]",add
22255,Daggertail Lizard,Normal,0,156,Scalehide,3522,"[-1,-1]",add
22946,Shadowmoon War Hound,Normal,0,52,Hound,3959,"[-1,-1]",add
23051,Monstrous Kaliri,Normal,0,26,Bird of Prey,3519,"[-1,-1]",add
23132,Brood of Anzu,Normal,0,26,Bird of Prey,3791,"[-1,-1]",add
23204,Vakkiz the Windrager,Elite,1,27,Wind Serpent,3519,[],update
23206,Akkarai Hatchling,Normal,0,26,Bird of Prey,3519,"[-1,-1]",add
24740,Goodie,Normal,0,12,Tallstrider,331,"[1,-1]",add
24922,Razorthorn Ravager,Normal,0,31,Ravager,3519,"[-1,-1]",add
25774,Rockfang,Normal,0,1,Wolf,3537,"[-1,-1]",add
26360,Rattlebore,Normal,0,42,Worm,65,"[-1,-1]",add
28087,Sapphire Hive Queen,Normal,0,44,Wasp,3711,"[-1,-1]",add
29033,Spirit of Atha,Normal,0,68,Hydra,3711,"[-1,-1]",add
29411,Crystalweb Weaver,Normal,0,3,Spider,67,"[-1,-1]",add
29412,Crystalweb Spitter,Normal,0,3,Spider,67,"[-1,-1]",add
29461,Icetip Crawler,Normal,0,3,Spider,67,"[-1,-1]",add
29562,Icemaw Bear,Normal,0,4,Bear,67,"[-1,-1]",add
29630,Fanged Pit Viper,Normal,0,35,Serpent,1987,"[0,0]",add
29637,Crafty Snake,Normal,0,35,Serpent,1206,"[0,0]",add
30320,Battlescarred Frostworg,Elite,1,1,Wolf,67,"[-1,-1]",add
36852,Skychaser Hippogryph,Normal,0,160,Feathermane,16,"[1,-1]",add
39444,Pit Viper,Normal,0,35,Serpent,4945,"[-1,-1]",add
39833,Twilight Buzzard,Normal,0,7,Carrion Bird,616,"[-1,-1]",add
50958,Kalan'ii,Elite,1,8,Crab,5840,"[0,0]",add
56286,Enthralled Forest Prowler,Normal,0,2,Cat,5785,"[-1,1]",add
58768,Cracklefang,Rare,4,1,Wolf,5840,"[-1,-1]",add
59915,Jasper Guardian,Elite,1,128,Stone Hound,6125,"[-1,-1]",add
59971,Stone Guardian,Normal,0,128,Stone Hound,5840,"[-1,-1]",update
59973,Stone Guardian,Normal,0,128,Stone Hound,5840,"[-1,-1]",add
60043,Jade Guardian,Elite,1,128,Stone Hound,6125,"[-1,-1]",add
60047,Amethyst Guardian,Elite,1,128,Stone Hound,6125,"[-1,-1]",add
60051,Cobalt Guardian,Elite,1,128,Stone Hound,6125,"[-1,-1]",add
60223,Granite Quilen,Normal,0,128,Stone Hound,5840,"[-1,-1]",update
60576,Stone Quilen,Elite,1,128,Stone Hound,6125,"[-1,-1]",add
60833,Frenzied Stone Quilen,Elite,1,128,Stone Hound,6125,[],update
63978,Kri'chon,Rare,4,20,Scorpid,5840,"[-1,-1]",add
64183,Enormous Stone Quilen,Elite,1,128,Stone Hound,6125,"[-1,-1]",add
65790,Muck Sifter,Normal,0,8,Crab,6138,"[0,0]",add
67087,Ashweb Hatchling,Normal,0,3,Spider,5840,"[-1,-1]",update
69193,Loa-Infused Bloodhorn,Elite,1,138,Direhorn,6507,"[-1,-1]",add
70448,Ancient Python,Elite,1,35,Serpent,48050,"[-1,-1]",add
70702,Flame Hound,Elite,1,52,Hound,7812,"[-1,-1]",add
73185,Enraged Mushan Beast,Elite,1,156,Scalehide,6738,"[-1,-1]",add
80560,Echidnaean Scout,Normal,0,68,Hydra,6722,[],update
81983,Verdant Mandragora,Elite,1,68,Hydra,7109,"[-1,-1]",add
84399,Vicious Mandragora,Elite,1,68,Hydra,7109,"[-1,-1]",add
