npc_id,npc_name,zone,family,name_keeper,notes,taming_requirements
30,Forest Spider,Elwynn Forest,Spider,,,
43,Mine Spider,Elwynn Forest,Spider,,,
113,Stonetusk Boar,Elwynn Forest,Boar,,,
118,Prowler,Elwynn Forest,Wolf,,,
119,Longsnout,Elwynn Forest,Boar,,,
154,Greater Fleshripper,Westfall,Carrion Bird,,,
157,Goretusk,Westfall,Boar,,,
199,Young Fleshripper,Westfall,Carrion Bird,,,
217,Venom Web Spider,Duskwood,Spider,,,
299,Young Wolf,Elwynn Forest,Wolf,,,
330,Princess,Elwynn Forest,Boar,True,,
345,Bellygrub,Redridge Mountains,Boar,True,,
428,Dire Condor,Redridge Mountains,Carrion Bird,,,
442,Tarantula,Redridge Mountains,Spider,,,
454,Young Goretusk,Westfall,Boar,,,
462,Vultros,Westfall,Carrion Bird,True,Vultros can appear a one of five places around the farmsteads of northern Westfall: (i) south of the Jansen Stead; (ii) south-east of Furlbrow's Pumpkin Farm; (iii) around the road between Furlbrow's Pumpkin Farm and the Molsen Farm; (iv) east of the Molsen Farm; and (v) just south-east of Saldean's Farm.,
471,Mother Fang,Elwynn Forest,Spider,True,,
521,Lupos,Duskwood,Wolf,True,,
524,Rockhide Boar,Elwynn Forest,Boar,,,
525,Mangy Wolf,Elwynn Forest,Wolf,,,
547,Great Goretusk,Redridge Mountains,Boar,,,
574,Naraxis,Duskwood,Spider,True,"Appears in a cave in the mountains that form the eastern border of the zone. The cave can be seen on the zone map, in an area roughly north-east of Tranquil Gardens Cemetery.",
616,Chatter,Redridge Mountains,Spider,True,,
628,Black Ravager,Duskwood,Wolf,,,
681,Young Stranglethorn Tiger,Northern Stranglethorn,Cat,,,
682,Stranglethorn Tiger,Northern Stranglethorn,Cat,,,
683,Young Panther,Northern Stranglethorn,Cat,,,
684,Shadowmaw Panther,Northern Stranglethorn,Cat,,,
685,Stranglethorn Raptor,Northern Stranglethorn,Raptor,,,
686,Lashtail Raptor,Northern Stranglethorn,Raptor,,,
687,Jungle Stalker,Northern Stranglethorn,Raptor,,,
688,Stone Maw Basilisk,Northern Stranglethorn,Basilisk,,,
689,Crystal Spine Basilisk,Northern Stranglethorn,Basilisk,,,
690,Cold Eye Basilisk,The Cape of Stranglethorn,Basilisk,,,
704,Ragged Timber Wolf,Dun Morogh,Wolf,,,
705,Ragged Young Wolf,Dun Morogh,Wolf,,,
708,Small Crag Boar,Dun Morogh,Boar,,,
728,Bhag'thera,Northern Stranglethorn,Cat,True,,
729,Sin'Dall,Northern Stranglethorn,Cat,True,,
730,Tethis,Northern Stranglethorn,Raptor,True,,
731,King Bangalash,Northern Stranglethorn,Cat,True,,
736,Panther,Northern Stranglethorn,Cat,,,
772,Stranglethorn Tigress,The Cape of Stranglethorn,Cat,,,
822,Young Forest Bear,Elwynn Forest,Bear,,,
830,Sand Crawler,Azshara; Westfall,Crab,,,
831,Sea Crawler,Westfall,Crab,,,
833,Coyote Packleader,Westfall,Wolf,,,
834,Coyote,Westfall,Wolf,,,
858,Sorrow Spinner,Swamp of Sorrows,Spider,,,
922,Silt Crawler,Swamp of Sorrows,Crab,,,
930,Black Widow Hatchling,Duskwood,Spider,,,
976,Kurzen War Tiger,Northern Stranglethorn,Cat,,,
977,Kurzen War Panther,Northern Stranglethorn,Cat,,,
1016,Highland Lashtail,Wetlands,Raptor,,,
1019,Elder Razormaw,Wetlands,Raptor,,,
1085,Elder Stranglethorn Tiger,Northern Stranglethorn,Cat,,,
1088,Monstrous Crawler,Swamp of Sorrows,Crab,,,
1109,Fleshripper,Westfall,Carrion Bird,,,
1111,Leech Stalker,Wetlands,Spider,,,
1112,Leech Widow,Wetlands,Spider,True,,
1125,Crag Boar,Dun Morogh,Boar,,,
1130,Bjarn,Dun Morogh,Bear,True,,
1132,Timber,Dun Morogh,Wolf,True,,
1140,Razormaw Matriarch,Wetlands,Raptor,True,,
1150,River Crocolisk,Northern Stranglethorn,Crocolisk,,,
1152,Snapjaw Crocolisk,Northern Stranglethorn,Crocolisk,,,
1186,Black Bear,Loch Modan,Bear,,,
1195,Forest Lurker,Loch Modan,Spider,,,
1196,Ice Claw Bear,Dun Morogh,Bear,,,
1201,Snow Leopard,Dun Morogh,Cat,,Only found in North Gate Pass. Left overs.,
1216,Shore Crawler,Westfall,Crab,,,
1225,Ol' Sooty,Loch Modan,Bear,True,,
1504,Young Night Web Spider,Tirisfal Glades,Spider,,,
1505,Night Web Spider,Tirisfal Glades,Spider,,,
1508,Young Scavenger,Tirisfal Glades,Wolf,,,
1509,Ragged Scavenger,Tirisfal Glades,Wolf,,,
1511,Enraged Silverback Gorilla,The Cape of Stranglethorn,Gorilla,,"Spawns as the first gorilla during the quest Stranglethorn Fever, at a cave at the north end of Mistvale Valley. See Fin Fizracket in Booty Bay to obtain the quest.",
1512,Duskbat,Tirisfal Glades,Bat,,,
1513,Mangy Duskbat,Tirisfal Glades,Bat,,,
1516,Konda,The Cape of Stranglethorn,Gorilla,True,"Spawns as the second gorilla during the quest Stranglethorn Fever, at a cave at the north end of Mistvale Valley. See Fin Fizracket in Booty Bay to obtain the quest.",
1547,Decrepit Darkhound,Tirisfal Glades,Hound,,,
1548,Cursed Darkhound,Tirisfal Glades,Hound,,,
1549,Ravenous Darkhound,Tirisfal Glades,Hound,,,
1550,Thrashtail Basilisk,The Cape of Stranglethorn,Basilisk,,,
1551,Ironjaw Basilisk,The Cape of Stranglethorn,Basilisk,,,
1552,Scale Belly,The Cape of Stranglethorn,Basilisk,True,Located at the back of the mine.,
1553,Greater Duskbat,Tirisfal Glades,Bat,,,
1554,Vampiric Duskbat,Tirisfal Glades,Bat,,,
1555,Vicious Night Web Spider,Tirisfal Glades,Spider,,,
1557,Elder Mistvale Gorilla,The Cape of Stranglethorn,Gorilla,,,
1558,Silverback Patriarch,The Cape of Stranglethorn,Gorilla,,,
1559,King Mukla,The Cape of Stranglethorn,Gorilla,True,,
